CourseNumber,Department,CourseSection,CourseName,Instructor,Note,URL
HIST111,History,1,Introduction to U.S. History,"Allison, Nathan Glenn William",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,HIST111&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
HIST213,History,1,Race and Ethnicity through the Ages,"Amato, Matthew",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,HIST213&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
HIST290,History,1,The Historian's Craft,"Amato, Matthew",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,HIST290&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
HIST315,History,1,Comparative African-American Cultures,"Graden, Dale T.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,HIST315&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
HIST414,History,1,"History and Film: Oliver Stone, Hollywood, and the World","Graden, Dale T.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,HIST414&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
HIST522,History,1,Colloquium in European History,"Kittell, Ellen E.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,HIST522&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
HIST598,History,1,Internship: Oral History,"Scofield, Rebecca E.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,HIST598&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
INTR101,Interdisciplinary Studies,2,College Success Strategies,"La Pointe, Marc J.",URL for This instructor only,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,intr101%20lapointe&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
INTR401,Interdisciplinary Studies,,Career and Leadership Development,"Warner, Mark Steven",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,intr401&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ISEM101,Integrated Seminar,28,Everyone Has a Story,"Harlan, David Lee",URL for This instructor only,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,isem101%20harlan&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ISEM101,Integrated Seminar,8,The Monsters We Make,"Panttaja, Dean Fields",URL for This instructor only,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,isem101%20panttaja&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
JAMM100,Journalism/Mass Media,1,Media and Society,"Smith, Steven Alan",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,jamm100&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
JAMM341,Journalism/Mass Media,1,Mass Media Ethics,"Smith, Steven Alan",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,jamm341&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
JAMM444,Journalism/Mass Media,1,Mass Media & Public Opinion,"Bird, Kenton",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,jamm444&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
JAMM448,Journalism/Mass Media,1,Law of Mass Media,"Blevins, Kathryn",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,jamm448&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
LARC380,Landscape Architecture,1,Water Conservation Technologies,"Tompkins, Alison Renee",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,larc380&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
LIBS414,Library Science,0,Reference & Information Services,"Henrich, Kristin",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,LIBS414&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
LIBS418,Library Science,1,Classification and Cataloging,"Attebury, Ramirose Ilene",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,LIBS418&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
LIBS426,Library Science,1,Information Literacy for the Library Media Specialist,"Prorak, Diane M.",,
LIBS428,Library Science,5,Children's Literature for Librarians,"Prorak, Diane M.",,
LIBS429,Library Science,1,Adolescent Literature for Librarians,"Prorak, Diane M.",,
LIBS514,Library Science,0,Reference & Information Services,"Henrich, Kristin",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,LIBS514&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
LIBS518,Library Science,1,Classification and Cataloging,"Attebury, Ramirose Ilene",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,LIBS518&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
MATH386,Mathematics,All,Theory of Numbers,"Johnson Leung, Jennifer M",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,math386&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
MATH428,Mathematics,10,Numerical Methods,"Barannyk, Lyudmyla",,
MATH428,Mathematics,1,Numerical Methods,"Hiller, John R",URL for This instructor only,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,math428%20hiller&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
MATH472,Mathematics,1,Introduction to Analysis II,"Datta, Somantika",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,math472&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
MATH528,Mathematics,1,Numerical Methods,"Hiller, John R",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,math528&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ME404/504,Mechanical Engineering,1,ST:Mechanics of Design & Manufacturing,"Maughan, Michael",,
